2017-12-23 10:12:38,139 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-23 10:12:38,144 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-12-23 10:12:38,176 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-23 10:12:38,199 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-23 10:12:40,451 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-23 10:12:40,459 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-12-23 10:12:40,493 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-23 10:12:40,498 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-23 10:13:01,689 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.huangguizhao:huangguizhao-mybatis-generator:0.0.1-SNAPSHOT @ E:\JAVAEE\第四阶段\day02\day02\huangguizhao-mybatis-generator\pom.xml.
2017-12-23 10:14:50,227 [Worker-34] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.huawei.demo:hw-background:0.0.1-SNAPSHOT @ E:\demo\demo_01\hw-background\pom.xml.
2017-12-23 10:14:51,458 [Worker-34] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /hw-background/src/main/java
2017-12-23 10:14:51,458 [Worker-34] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /hw-background/src/main/resources
2017-12-23 10:14:51,458 [Worker-34] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /hw-background/src/test/java
2017-12-23 10:14:51,458 [Worker-34] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /hw-background/src/test/resources
2017-12-23 10:14:52,777 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-23 10:14:52,780 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-23 10:14:52,781 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-23 10:14:52,785 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-23 10:14:54,028 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
